company_name,source_name,source_type,url,parser_type,crawl_frequency,is_active,priority,notes
"华恒生物","官网首页","web","https://www.huahengbio.com/","generic_web","daily","true","high","首批默认入口页，可用于发现新闻、导航和页面变化"
"华恒生物","招聘页","jobs","https://www.huahengbio.com/join-us","jobs_page","daily","true","high","用于监控招聘岗位变化"
"凯赛生物","官网首页","web","https://www.cathaybiotech.com/","generic_web","daily","true","high","首批默认入口页，可用于发现新闻、导航和页面变化"
"凯赛生物","关于我们页","web","https://www.cathaybiotech.com/about.aspx","generic_web","daily","true","medium","适合监控生产基地、产能和公司描述变化"
"蓝晶微生物","官网首页","web","https://www.bluepha.com/","generic_web","daily","true","high","官网聚合产品、平台、新闻等信息，适合页面变化监控"
"川宁生物","官网首页","web","https://www.klcnsw.com/","generic_web","daily","true","high","首批默认入口页，可用于发现新闻、导航和页面变化"
"川宁生物","投资者关系页","web","https://www.klcnsw.com/touzizhe/index.html","generic_web","daily","true","high","适合监控公告、业绩与合规动态"
"恩和生物 Bota Bio","官网首页","web","https://bota.bio/","generic_web","daily","true","high","适合监控平台能力、新闻和制造相关变化"
"CellX","官网首页","web","https://cellx.co/zh","generic_web","daily","true","high","适合监控中文官网新闻和业务页面变化"
"CellX","职位页","jobs","https://cellx.co/en/positions","jobs_page","daily","true","high","用于监控招聘岗位变化"
"行业通用","Fierce Biotech 全站 RSS","rss","https://www.fiercebiotech.com/rss/xml","rss_feed","daily","true","high","官方 RSS 页面列出的全站新闻源，适合补充国际 biotech 动态"
"行业通用","Fierce Pharma Manufacturing RSS","rss","https://www.fiercepharma.com/rss/manufacturing/xml","rss_feed","daily","true","high","官方 RSS 页面列出的制造板块新闻源，适合监控工厂、设施、产能和供应链变化"
"行业通用","BioWorld Asia-Pacific RSS","rss","https://www.bioworld.com/rss/23","rss_feed","daily","true","high","官方 Asia-Pacific 主题 RSS，适合亚洲和中国相关产业动态"
"行业通用","BioWorld China RSS","rss","https://www.bioworld.com/rss/28","rss_feed","daily","true","high","官方 China 主题 RSS，适合中国公司和监管动态"
"行业通用","BioWorld Deals and M&A RSS","rss","https://www.bioworld.com/rss/14","rss_feed","daily","true","medium","官方交易与合作主题 RSS，适合监控合作、授权、并购"
"行业通用","BioWorld Financings RSS","rss","https://www.bioworld.com/rss/19","rss_feed","daily","true","medium","官方融资主题 RSS，适合监控投融资事件"
"行业通用","BioWorld NMPA RSS","rss","https://www.bioworld.com/rss/topic/556-nmpa","rss_feed","daily","true","medium","官方 NMPA 主题 RSS，适合补充中国监管相关信息"
